"ID";"Sigla";"Nome";"Tipo/Natureza";"Esfera";"Contexto";"Descrição";"Status";"Nota do status"
"cosip";"COSIP";"Contribuição para o Custeio do Serviço de Iluminação Pública";"Contribuição";"Municipal / DF";"Imóvel / Serviços públicos";"Contribuição destinada ao custeio, expansão e melhoria do serviço de iluminação pública.";"Vigente";""
"cip";"CIP";"Contribuição de Iluminação Pública";"Contribuição";"Municipal / DF";"Imóvel / Serviços públicos";"Sigla usada por diversos municípios para a contribuição de iluminação pública (COSIP).";"Vigente";"Nome local"
"tfe";"TFE";"Taxa de Fiscalização de Estabelecimentos";"Taxa";"Municipal";"Empresa / Licenciamento";"Taxa municipal encontrada em diversos municípios para fiscalização de estabelecimentos; nome e regras variam localmente.";"Varia por ente";"Varia por município"
"tfa";"TFA";"Taxa de Fiscalização de Anúncios";"Taxa";"Municipal";"Empresa / Publicidade";"Taxa municipal relacionada à fiscalização de anúncios; nomenclatura e regras variam conforme o município.";"Varia por ente";"Varia por município"
"trss";"TRSS";"Taxa de Resíduos Sólidos de Serviços de Saúde";"Taxa";"Municipal";"Saúde / Resíduos";"Taxa municipal associada a serviços públicos específicos de coleta/destinação de resíduos de serviços de saúde, conforme legislação local.";"Varia por ente";"Varia por município"
"tff-municipal";"TFF";"Taxa de Fiscalização de Funcionamento";"Taxa";"Municipal";"Empresa / Licenciamento";"Sigla adotada por alguns municípios para fiscalização de funcionamento de estabelecimentos.";"Varia por ente";"Varia por município"
"tflf";"TFLF";"Taxa de Fiscalização de Localização e Funcionamento";"Taxa";"Municipal";"Empresa / Licenciamento";"Taxa municipal de fiscalização de localização e funcionamento, com nomenclatura variável.";"Varia por ente";"Varia por município"
"tlp";"TLP";"Taxa de Limpeza Pública";"Taxa";"Municipal";"Imobiliário / Serviços públicos";"Denominação utilizada em algumas legislações locais; a validade e a configuração dependem do serviço específico e divisível e da legislação do ente.";"Varia por ente";"Varia por município"
"tcr";"TCR";"Taxa de Coleta de Resíduos";"Taxa";"Municipal";"Imobiliário / Resíduos";"Denominação genérica/local para taxa ligada à coleta de resíduos; sigla e regras variam por município.";"Varia por ente";"Varia por município"
"tfrm";"TFRM";"Taxa de Controle, Monitoramento e Fiscalização das Atividades de Pesquisa, Lavra, Exploração e Aproveitamento de Recursos Minerários";"Taxa";"Estadual";"Mineração";"Taxa estadual existente em alguns estados para fiscalização de atividades minerárias, conforme legislação local.";"Varia por ente";"Varia por estado"
"tfa-anvisa";"TFA-ANVISA";"Taxa de Fiscalização de Vigilância Sanitária";"Taxa";"Federal";"Saúde / Regulação";"Taxa de fiscalização vinculada à atuação regulatória da Anvisa em hipóteses previstas em lei.";"Vigente";""
"tfvs";"TFVS";"Taxa de Fiscalização de Vigilância Sanitária";"Taxa";"Federal";"Saúde / Regulação";"Sigla empregada no contexto de fiscalização sanitária; verificar a denominação usada no ato normativo específico.";"Vigente";"Uso específico"
"tff-federal";"TFF";"Taxa de Fiscalização de Funcionamento (telecom)";"Taxa";"Federal";"Telecom / Regulação";"Taxa integrante do FISTEL associada à fiscalização do funcionamento de estações de telecomunicações.";"Vigente";""
"tfi";"TFI";"Taxa de Fiscalização de Instalação";"Taxa";"Federal";"Telecom / Regulação";"Taxa integrante do FISTEL ligada à fiscalização da instalação de estações de telecomunicações.";"Vigente";""
"fistel";"FISTEL";"Fundo de Fiscalização das Telecomunicações";"Fundo / taxas";"Federal";"Telecom / Regulação";"Fundo associado, entre outras receitas, às taxas de fiscalização de instalação e funcionamento. Não é um imposto.";"Vigente";""
"taf";"TAF";"Taxa de Fiscalização da Aviação Civil";"Taxa";"Federal";"Aviação / Regulação";"Taxa regulatória relacionada à fiscalização da aviação civil, conforme hipóteses legais.";"Vigente";"Uso específico"
"tffa";"TFFA";"Taxa de Fiscalização Federal Agropecuária";"Taxa";"Federal";"Agronegócio / Regulação";"Taxa federal ligada a serviços e atos de fiscalização agropecuária nas hipóteses previstas em lei.";"Vigente";""
"fgts";"FGTS";"Fundo de Garantia do Tempo de Serviço";"Encargo trabalhista";"Federal";"Empresa / Folha / Trabalho";"Depósito obrigatório do empregador em favor do trabalhador nas hipóteses legais. Não é imposto nem contribuição tributária comum.";"Vigente";""
"fap";"FAP";"Fator Acidentário de Prevenção";"Fator de cálculo";"Federal";"Empresa / Folha";"Multiplicador usado para ajustar a contribuição relacionada aos riscos ambientais do trabalho. Não é tributo autônomo.";"Vigente";""
"sistema-s";"Sistema S";"Conjunto de entidades e contribuições para terceiros";"Encargo / contribuições para terceiros";"Federal";"Empresa / Folha";"Expressão prática para contribuições destinadas a entidades como SENAI, SESI, SENAC, SESC, SEBRAE, SENAR, SEST e SENAT.";"Vigente";""
"ret";"RET";"Regime Especial de Tributação";"Regime tributário";"Federal";"Imobiliário / Construção";"Regime especial aplicável, entre outras hipóteses, a incorporações imobiliárias. Não é um imposto isolado.";"Vigente";""
"simples";"SIMPLES";"Simples Nacional";"Regime tributário";"Compartilhado";"Empresa";"Regime tributário simplificado para microempresas e empresas de pequeno porte, que reúne diversos tributos em documento único.";"Vigente";""
"das";"DAS";"Documento de Arrecadação do Simples Nacional";"Documento de arrecadação";"Compartilhado";"Empresa";"Documento usado para recolher tributos abrangidos pelo Simples Nacional. Não é tributo.";"Vigente";""
"das-mei";"DAS-MEI";"Documento de Arrecadação do Simples Nacional do MEI";"Documento de arrecadação";"Compartilhado";"MEI / Empresa";"Documento mensal utilizado pelo MEI para recolhimentos previstos no regime. Não é tributo autônomo.";"Vigente";""
"darf";"DARF";"Documento de Arrecadação de Receitas Federais";"Documento de arrecadação";"Federal";"Pessoa física / Empresa";"Documento utilizado para recolher diversas receitas e tributos federais. Não é imposto.";"Vigente";""
"dae";"DAE";"Documento de Arrecadação do eSocial";"Documento de arrecadação";"Federal";"Doméstico / Folha";"Guia que reúne recolhimentos do empregador doméstico no eSocial. Não é tributo autônomo.";"Vigente";""
"gps";"GPS";"Guia da Previdência Social";"Documento de arrecadação";"Federal";"Previdência";"Guia historicamente utilizada para recolhimentos previdenciários em diversas situações. Não é tributo.";"Vigente";"Uso conforme caso"
"gcap";"GCAP";"Programa de Apuração dos Ganhos de Capital";"Ferramenta / apuração";"Federal";"Pessoa física / Patrimônio";"Programa/forma de apuração de ganho de capital de pessoa física. Não é um imposto chamado GCAP.";"Vigente";""
"come-cotas";"Come-cotas";"Antecipação periódica do Imposto de Renda em determinados fundos";"Mecanismo de tributação";"Federal";"Financeiro / Investimentos";"Mecanismo de antecipação de IR em determinados fundos de investimento; não é tributo autônomo.";"Vigente";"Conforme fundo"
